State	Town	7_2009	8_2009
State366	Town366	3006	579
State367	Town367	4478	3377
State368	Town368	8216	3747
State369	Town369	4982	5243
State370	Town370	2009	7223
State371	Town371	8105	189
State372	Town372	8278	3658
State373	Town373	3049	9712
State374	Town374	1724	8766
State375	Town375	1871	2952
State376	Town376	7933	2992
State377	Town377	2381	1132
State378	Town378	2498	3534
State379	Town379	2762	1691
State380	Town380	2102	1439
State381	Town381	8461	1773
State382	Town382	6920	6843
State383	Town383	7984	1904
State384	Town384	4540	4399
State385	Town385	2193	3781
State386	Town386	5570	2905
State387	Town387	2398	4397
State388	Town388	7151	9159
State389	Town389	8542	3454
State390	Town390	1379	1339
State391	Town391	6478	5695
State392	Town392	1010	3750
State393	Town393	9179	1107
State394	Town394	4540	6184
State395	Town395	1096	5726
State396	Town396	2241	271
State397	Town397	2174	10
State398	Town398	5778	3880
State399	Town399	4093	3761
State400	Town400	2854	297
State401	Town401	9410	7807
State402	Town402	6345	4292
State403	Town403	7097	1469
State404	Town404	6419	5905
State405	Town405	5852	2173
State406	Town406	5858	1472
State407	Town407	8045	1571
State408	Town408	2525	2161
State409	Town409	4096	3899
State410	Town410	6288	4148
State411	Town411	1462	1274
State412	Town412	8296	1209
State413	Town413	1455	1147
State414	Town414	4416	1920
State415	Town415	2974	523
State416	Town416	4856	5802
State417	Town417	9820	1647
State418	Town418	2473	1691
State419	Town419	7010	2494
State420	Town420	1860	6976
State421	Town421	5773	2954
State422	Town422	6148	9173
State423	Town423	9802	1920
State424	Town424	9788	1956
State425	Town425	1324	6983
State426	Town426	1216	9421
State427	Town427	4755	4456
State428	Town428	5714	3320
State429	Town429	2323	1475
State430	Town430	4387	9358
State431	Town431	7103	2201
State432	Town432	3971	3545
State433	Town433	4866	1960
State434	Town434	7857	227
State435	Town435	4951	1270
State436	Town436	4997	1106
State437	Town437	1615	317
State438	Town438	1809	2472
State439	Town439	4312	3209
State440	Town440	6744	4193
State441	Town441	1652	455
State442	Town442	7300	178
State443	Town443	2315	458
State444	Town444	8880	2433
State445	Town445	4885	1600
State446	Town446	8141	1898
State447	Town447	4682	2474
State448	Town448	5509	9571
State449	Town449	3784	1761
State450	Town450	2847	11
State451	Town451	5510	3960
State452	Town452	6375	1599
State453	Town453	2105	7587
State454	Town454	9895	2765
State455	Town455	1387	1611
State456	Town456	6589	4407
State457	Town457	3097	1492
State458	Town458	6972	2279
State459	Town459	2953	3404
State460	Town460	7594	262
State461	Town461	2881	1463
State462	Town462	5460	1364
State463	Town463	8590	195
State464	Town464	6462	1972
State465	Town465	4224	1155
State466	Town466	4555	273
State467	Town467	4140	342
State468	Town468	7532	3506
State469	Town469	8575	684
State470	Town470	4230	1668
State471	Town471	6816	5269
State472	Town472	2552	1212
State473	Town473	3749	3389
State474	Town474	9989	7430
State475	Town475	5761	3840
State476	Town476	7447	9601
State477	Town477	5298	1638
State478	Town478	6656	7981
State479	Town479	8319	3411
State480	Town480	4387	2635
State481	Town481	1857	3888
State482	Town482	9932	1263
State483	Town483	9236	4773
State484	Town484	7904	3233
State485	Town485	8491	2824
State486	Town486	7552	6563
State487	Town487	4614	9576
State488	Town488	5828	1854
State489	Town489	5687	1642
State490	Town490	2811	1343
State491	Town491	4975	1682
State492	Town492	4213	4938
State493	Town493	2666	5987
State494	Town494	9005	4430
State495	Town495	7172	57
State496	Town496	1650	2855
State497	Town497	7849	4251
State498	Town498	5478	2821
State499	Town499	8535	3724
State500	Town500	3752	3263
State501	Town501	6345	182
State502	Town502	1286	2758
State503	Town503	1600	4156
State504	Town504	9689	5351
State505	Town505	6901	6701
State506	Town506	5624	2155
State507	Town507	4051	734
State508	Town508	8829	5393
State509	Town509	6494	3345
State510	Town510	4756	2831
State511	Town511	1548	6124
State512	Town512	5174	4452
State513	Town513	9423	7185
State514	Town514	1531	8450
State515	Town515	3569	3629
State516	Town516	8762	1747
State517	Town517	2642	3829
State518	Town518	2767	1666
State519	Town519	8628	1837
State520	Town520	3081	8229
State521	Town521	3491	1860
State522	Town522	3194	4275
State523	Town523	8265	4566
State524	Town524	2723	3691
State525	Town525	4044	7439
State526	Town526	8205	4419
State527	Town527	5015	2724
State528	Town528	6849	131
State529	Town529	8405	5793
State530	Town530	6406	3893
State531	Town531	9272	3181
State532	Town532	8166	6916
State533	Town533	6729	3856
State534	Town534	9362	2805
State535	Town535	4630	5362
State536	Town536	2768	1330
State537	Town537	8163	3400
State538	Town538	2970	1392
State539	Town539	4831	1701
State540	Town540	1444	551
State541	Town541	5535	5132
State542	Town542	8048	5842
State543	Town543	8023	3815
State544	Town544	3415	7929
State545	Town545	9736	6850
State546	Town546	3031	9528
State547	Town547	5597	3983
State548	Town548	9842	614
State549	Town549	5306	1637
State550	Town550	3613	3706
State551	Town551	2358	3665
State552	Town552	1899	3441
State553	Town553	1257	2465
State554	Town554	6999	1427
State555	Town555	3864	1772
State556	Town556	3203	1499
State557	Town557	4453	1883
State558	Town558	1303	464
State559	Town559	3372	4344
State560	Town560	1928	2527
State561	Town561	4594	7928
State562	Town562	1850	1585
State563	Town563	7238	6670
State564	Town564	3290	2329
State565	Town565	3349	5291
State566	Town566	4964	4641
State567	Town567	8421	1600
State568	Town568	4610	2167
State569	Town569	6189	1938
State570	Town570	1223	5283
State571	Town571	4502	320
State572	Town572	5343	1873
State573	Town573	3080	5576
State574	Town574	2771	4298
State575	Town575	9446	1749
State576	Town576	1366	1297
State577	Town577	7338	5553
State578	Town578	3578	7871
State579	Town579	1779	2382
State580	Town580	4831	2773
State581	Town581	3919	1473
State582	Town582	5030	2194
State583	Town583	4060	7445
State584	Town584	4911	9637
State585	Town585	8597	5530
State586	Town586	8684	2958
State587	Town587	2579	4535
State588	Town588	9734	380
State589	Town589	6361	4743
State590	Town590	7422	3170
State591	Town591	1070	6762
State592	Town592	6487	2952
State593	Town593	4721	1899
State594	Town594	6188	9884
State595	Town595	1962	9462
State596	Town596	5412	1472
State597	Town597	4136	8391
State598	Town598	6845	2443
State599	Town599	7753	2922
State600	Town600	2590	7795
State601	Town601	6416	1552
State602	Town602	8915	2323
State603	Town603	5706	2518
State604	Town604	8033	3176
State605	Town605	9046	2246
State606	Town606	9155	1445
State607	Town607	1821	7894
State608	Town608	8180	371
State609	Town609	8886	1521
State610	Town610	9873	193
State611	Town611	9145	1913
State612	Town612	4921	4573
State613	Town613	4344	7733
State614	Town614	3956	5850
State615	Town615	4030	2404
State616	Town616	7678	1286
State617	Town617	1449	1535
State618	Town618	6737	1115
State619	Town619	9325	3360
State620	Town620	4604	1798
State621	Town621	9846	2884
State622	Town622	8616	1451
State623	Town623	6795	2814
State624	Town624	6631	8251
State625	Town625	1331	3707
State626	Town626	9375	1956
State627	Town627	7956	2705
State628	Town628	1159	2642
State629	Town629	6401	9978
State630	Town630	3227	289
State631	Town631	5826	5295
State632	Town632	5507	2642
State633	Town633	3520	1420
State634	Town634	1350	2119
State635	Town635	1689	1525
State636	Town636	5516	4282
State637	Town637	1529	2941
State638	Town638	2281	2823
State639	Town639	8293	1274
State640	Town640	1254	120
State641	Town641	5998	3504
State642	Town642	7930	5288
State643	Town643	5210	1549
State644	Town644	3080	2606
State645	Town645	6520	8460
State646	Town646	4376	3740
State647	Town647	8309	3470
State648	Town648	4647	2402
State649	Town649	7797	3623
State650	Town650	5487	1120
State651	Town651	6180	377
State652	Town652	9840	129
State653	Town653	9678	5409
State654	Town654	8224	1725
State655	Town655	8971	1948
State656	Town656	7192	6942
State657	Town657	8540	6940
State658	Town658	8441	1656
State659	Town659	6415	8489
State660	Town660	5866	3656
State661	Town661	9029	1554
State662	Town662	7345	3218
State663	Town663	7914	246
State664	Town664	3888	1583
State665	Town665	5786	9745
State666	Town666	3116	3421
State667	Town667	4729	7786
State668	Town668	9970	1718
State669	Town669	7740	9611
State670	Town670	2613	4395
State671	Town671	1561	4674
State672	Town672	1546	2874
State673	Town673	3659	2713
State674	Town674	7576	5147
State675	Town675	6826	1168
State676	Town676	3404	1435
State677	Town677	8028	91
State678	Town678	5066	1962
State679	Town679	8037	1834
State680	Town680	7502	9661
State681	Town681	3101	2860
State682	Town682	2215	1833
State683	Town683	9158	1295
State684	Town684	2578	8951
State685	Town685	6902	1455
State686	Town686	6463	1183
State687	Town687	4058	5458
State688	Town688	8991	1987
State689	Town689	5624	1863
State690	Town690	4522	1924
State691	Town691	3938	7502
State692	Town692	8887	2497
State693	Town693	8449	7158
State694	Town694	1006	5985
State695	Town695	6843	7252
State696	Town696	8032	9921
State697	Town697	7642	4237
State698	Town698	1945	1457
State699	Town699	9645	478
State700	Town700	8888	7562
State701	Town701	9258	166
State702	Town702	2201	2356
State703	Town703	2144	7398
State704	Town704	8697	1576
State705	Town705	8427	1880
State706	Town706	9938	8943
State707	Town707	8483	8595
State708	Town708	2042	3604
State709	Town709	5645	5759
State710	Town710	3632	3432
State711	Town711	5838	2826
State712	Town712	3467	1416
State713	Town713	6094	1556
State714	Town714	4767	196
State715	Town715	2192	2936
State716	Town716	1530	5194
State717	Town717	5285	879
State718	Town718	4100	1415
State719	Town719	3489	1452
State720	Town720	6669	1246
State721	Town721	2655	2554
State722	Town722	2614	4130
State723	Town723	8265	9452
State724	Town724	8167	2454
State725	Town725	3699	170
State726	Town726	5225	1587
State727	Town727	1579	7640
State728	Town728	7265	1599
State729	Town729	6788	1700
State730	Town730	6160	5722
State731	Town731	5268	2602
State732	Town732	8105	4259
State733	Town733	7830	2902
State734	Town734	1464	1723
State735	Town735	7406	1403
State736	Town736	8809	4493
State737	Town737	3614	1888
State738	Town738	1428	3638
State739	Town739	2520	5290
State740	Town740	7755	1666
State741	Town741	8799	1832
State742	Town742	8771	554
State743	Town743	5416	3216
State744	Town744	6304	1933
State745	Town745	9352	6752
State746	Town746	4920	5788
State747	Town747	8079	9978
State748	Town748	2467	1726
State749	Town749	2856	1860
State750	Town750	5457	6888
State751	Town751	8947	3408
State752	Town752	7118	1818
State753	Town753	2638	6794
State754	Town754	9102	1906
State755	Town755	2734	4822
State756	Town756	9496	4546
State757	Town757	2963	1502
State758	Town758	5636	8429
State759	Town759	4295	17
State760	Town760	8956	1832
State761	Town761	7740	528
State762	Town762	8531	197
State763	Town763	5513	4850
State764	Town764	8259	1856
State765	Town765	7711	5930
State766	Town766	5696	1957
State767	Town767	2596	1898
State768	Town768	3146	6904
State769	Town769	3665	1669
State770	Town770	1762	7378
State771	Town771	4931	1900
State772	Town772	7511	1632
State773	Town773	3020	2101
State774	Town774	7038	1503
State775	Town775	4905	6434
State776	Town776	4043	546
State777	Town777	3519	8442
State778	Town778	2494	2209
State779	Town779	6106	2412
State780	Town780	2412	3376
State781	Town781	6593	7866
State782	Town782	6154	2991
State783	Town783	8410	265
State784	Town784	2558	3902
State785	Town785	1640	7498
State786	Town786	7513	2569
State787	Town787	7292	2238
State788	Town788	7037	5886
State789	Town789	4387	3377
State790	Town790	1601	5915
State791	Town791	9795	3696
State792	Town792	5575	2682
State793	Town793	1490	1617
State794	Town794	3680	9706
State795	Town795	7157	5900
State796	Town796	2961	3518
State797	Town797	7602	436
State798	Town798	9689	157
State799	Town799	1155	1180
State800	Town800	4433	2129
State801	Town801	6690	1811
State802	Town802	4691	2980
State803	Town803	3093	1590
State804	Town804	8106	2789
State805	Town805	1650	2170
State806	Town806	1548	2912
State807	Town807	5086	9799
State808	Town808	6583	8210
State809	Town809	2395	4791
State810	Town810	9577	6302
State811	Town811	7001	1945
State812	Town812	6566	6966
State813	Town813	5803	4608
State814	Town814	2983	2271
State815	Town815	3054	1706
State816	Town816	5645	1408
State817	Town817	1732	1481
State818	Town818	4171	1973
State819	Town819	2882	1928
State820	Town820	3932	3524
State821	Town821	9747	1509
State822	Town822	7235	4911
State823	Town823	2316	1621
State824	Town824	1091	5151
State825	Town825	9566	4492
State826	Town826	4449	2428
State827	Town827	1220	3689
State828	Town828	5934	5879
State829	Town829	1107	5603
State830	Town830	7138	1841
State831	Town831	9225	7115
State832	Town832	2474	6489
State833	Town833	2230	3293
State834	Town834	5673	5571
State835	Town835	5161	2459
State836	Town836	4864	6254
State837	Town837	2044	2817
State838	Town838	3513	1375
State839	Town839	2066	3170
State840	Town840	7834	1990
State841	Town841	5307	2580
State842	Town842	1483	4806
State843	Town843	7521	5756
State844	Town844	1193	6485
State845	Town845	5730	5861
State846	Town846	2399	1467
State847	Town847	6926	3709
State848	Town848	5230	1295
State849	Town849	8192	1722
State850	Town850	7004	3441
State851	Town851	1489	2257
State852	Town852	3624	559
State853	Town853	9556	317
State854	Town854	3222	682
State855	Town855	9290	9450
State856	Town856	5552	1564
State857	Town857	2587	329
State858	Town858	2759	1203
State859	Town859	2839	1745
State860	Town860	9124	2199
State861	Town861	2568	4516
State862	Town862	9316	247
State863	Town863	7665	1905
State864	Town864	5061	8105
State865	Town865	7813	5383
State866	Town866	9533	1593
State867	Town867	6239	7456
State868	Town868	7831	7723
State869	Town869	3575	2597
State870	Town870	5667	2841
State871	Town871	2322	8251
State872	Town872	7282	8470
State873	Town873	3027	2379
State874	Town874	8895	1409
State875	Town875	6800	1173
State876	Town876	7842	955
State877	Town877	3125	1365
State878	Town878	8748	2919
State879	Town879	2450	1725
State880	Town880	1853	4736
State881	Town881	4258	2622
State882	Town882	5589	9430
State883	Town883	7306	1925
State884	Town884	8034	1109
State885	Town885	4121	8938
State886	Town886	5490	5945
State887	Town887	8852	1288
State888	Town888	4421	2200
State889	Town889	2385	8470
State890	Town890	4875	6999
State891	Town891	4463	2728
State892	Town892	7228	6263
State893	Town893	5871	2501
State894	Town894	6424	2386
State895	Town895	5999	7703
State896	Town896	1527	7855
State897	Town897	5619	3331
State898	Town898	3064	2964
State899	Town899	3159	1362
State900	Town900	7654	3210
State901	Town901	7441	6377
State902	Town902	8191	1898
State903	Town903	1447	1120
State904	Town904	6226	3143
State905	Town905	2890	1494
State906	Town906	7505	1295
State907	Town907	8017	1170
State908	Town908	7772	398
State909	Town909	3823	2324
State910	Town910	9527	1632
State911	Town911	6268	5589
State912	Town912	8053	2791
State913	Town913	9276	5369
State914	Town914	1965	3461
State915	Town915	6740	7838
State916	Town916	8841	233
State917	Town917	2095	6705
State918	Town918	7465	7215
State919	Town919	7256	5677
State920	Town920	1724	1535
State921	Town921	5412	3669
State922	Town922	7717	8412
State923	Town923	9160	1321
State924	Town924	4408	6915
State925	Town925	6695	1686
State926	Town926	2856	5994
State927	Town927	7664	148
State928	Town928	1346	113
State929	Town929	4574	6883
State930	Town930	7254	4895
State931	Town931	4546	1108
State932	Town932	8101	2738
State933	Town933	9390	3552
State934	Town934	6372	1759
State935	Town935	1831	1882
State936	Town936	9567	1865
State937	Town937	1042	123
State938	Town938	7388	1991
State939	Town939	2610	9106
State940	Town940	7119	6530
State941	Town941	3743	3636
State942	Town942	7644	5250
State943	Town943	3214	9262
State944	Town944	8344	1259
State945	Town945	7565	1854
State946	Town946	9897	1721
State947	Town947	9389	4724
State948	Town948	8518	1706
State949	Town949	9098	1831
State950	Town950	2240	3131
State951	Town951	4554	6290
State952	Town952	8200	3991
State953	Town953	1313	9483
State954	Town954	1216	2813
State955	Town955	1046	3479
State956	Town956	2685	1775
State957	Town957	9305	3981
State958	Town958	5635	3655
State959	Town959	2947	80
State960	Town960	1908	2158
State961	Town961	7733	226
State962	Town962	3719	1229
State963	Town963	6503	4686
State964	Town964	6670	1272
State965	Town965	7472	4794
State966	Town966	2465	1371
State967	Town967	7178	6360
State968	Town968	8375	7774
State969	Town969	7914	1545
State970	Town970	6368	619
State971	Town971	6149	7252
State972	Town972	8556	2533
State973	Town973	8891	9826
State974	Town974	7838	2144
State975	Town975	8082	1220
State976	Town976	5600	4677
State977	Town977	6491	1215
State978	Town978	7605	184
State979	Town979	1419	1525
State980	Town980	4210	4719
State981	Town981	7264	2119
State982	Town982	5420	2514
State983	Town983	4307	4763
State984	Town984	8466	1691
State985	Town985	5948	7645
State986	Town986	5230	1133
State987	Town987	1190	539
State988	Town988	7990	2704
State989	Town989	4845	7427
State990	Town990	2742	340
State991	Town991	9624	9262
State992	Town992	6306	1419
State993	Town993	7917	3780
State994	Town994	5827	2431
State995	Town995	9024	5634
State996	Town996	1935	3542
State997	Town997	8431	2222
State998	Town998	9467	5513
State999	Town999	6771	3343
